('Stockfish 17.1 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3817', 'saved_engines\\Stockfish 17.1 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64.exe', '1', '2024-03-30T17:18:38Z', 'C++')
('Caissa 1.16 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3742', 'saved_engines\\Caissa 1.16 64-bit 8CPU\\caissa-1.16-x64-avx2-bmi2.exe', '13', '2024-01-11T11:30:05Z', 'C++')
('Alexandria 6.1.0 64-bit 8CPU', 'https://github.com/PGG106/Alexandria', '', '3741', 'saved_engines\\Alexandria 6.1.0 64-bit 8CPU\\Alexandria-6.1.0-avx2.exe', '13', '2024-03-24T06:07:43Z', 'C++')
('Lizard 11.0 64-bit 8CPU', 'https://github.com/liamt19/Lizard', 'Liam McGuire (USA)', '3741', 'saved_engines\\Lizard 11.0 64-bit 8CPU\\Lizard-11_0-win-aot-v1.exe', '13', '2024-09-26T21:24:45Z', 'C#')
('Velvet 8.1.0 64-bit 8CPU', 'https://github.com/mhonert/velvet-chess', 'Martin Honert (Germany)', '3741', 'saved_engines\\Velvet 8.1.0 64-bit 8CPU\\velvet-v8.1.0-x86_64-avx2.exe', '14', '2024-10-28T17:45:27Z', 'Rust')
('Caissa 1.15 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3737', 'saved_engines\\Caissa 1.15 64-bit 8CPU\\caissa-1.15-x64-avx2-bmi2.exe', '15', '2023-12-13T23:16:22Z', 'C++')
('Igel 3.6.0 64-bit 8CPU', 'https://github.com/vshcherbyna/igel', 'Volodymyr Shcherbyna (Ukraine)', '3737', 'saved_engines\\Igel 3.6.0 64-bit 8CPU\\igel-x64_bmi2_avx2_3_6_0.exe', '16', '2024-12-28T22:56:36Z', 'C++')
('PlentyChess 4.0.1 64-bit', 'https://github.com/Yoshie2000/PlentyChess', 'Patrick Leonhardt (Germany)', '3737', 'saved_engines\\PlentyChess 4.0.1 64-bit\\PlentyChess-4.0.0-windows-avx2.exe', '16', '2025-01-18T08:03:38Z', 'C++')
('RubiChess 20230918 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3734', 'saved_engines\\RubiChess 20230918 64-bit 8CPU\\RubiChess-20230918\\windows\\RubiChess-20230918_x86-64-avx2.exe', '16', '2023-09-18T19:57:40Z', 'C')
('Clover 6.2 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3733', 'saved_engines\\Clover 6.2 64-bit 8CPU\\Clover.6.2-avx2.exe', '16', '2024-06-10T11:14:46Z', 'C++')
('Viridithas 14.0.1 64-bit 8CPU', 'https://github.com/cosmobobak/virtue', 'Cosmo Bobak (Scotland)', '3732', 'saved_engines\\Viridithas 14.0.1 64-bit 8CPU\\viridithas-14.0.0-win-x86-64-v1.exe', '17', '2024-08-11T19:16:37Z', 'Rust')
